VIVA - RAUNA SZIL,,,,,,
MOSOGATÓTÁLCA,BLANCO,,,,,
CSAPTELEP,BLANCO,,,,,
SZAPPANADAGOLÓ,,,,,,
VÍZTISZTÍTÓ,,,,,,
HULLADÉKTÁROLÓ,,,,,,
HULLADÉKTÁROLÓ,,,,,,
KONYHAMALAC,,,,,,
TINA-KIA - SZÜRKE/ZÖLD,,,,,,
GÉP TÍPUSA,GYÁRTÓ,MODELL,CIKKSZÁM,LEÉRTÉKELT SZÁM,MÉRET,SZÍN
SÜTŐ,CANDY,FCXNE828X,ACAN0096AKC,L10968,,INOX
MIKRÓHULLÁMÚ,BEKO,MOB-20231 BG,ABE0007AKC,L12345,,INOX
FŐZŐLAP,BEKO,HII-64400MT,ABE0110AKC,L12348,,FEKETE
ELSZÍVÓ,CATA,VALTO-600XGBK,DMCVALTO60XGBK,L12340,60,FEKETE
HŰTŐ,BEKO,BCSA-285K3SN,ABE0102AKC,L12347,,NEM LÁTSZÓ
BORHŰTŐ,,,,,,
SOKKOLÓ HŰTŐ,,,,,,
KÁVÉFŐZŐ,,,,,,
MOSOGATÓGÉP,BEKO,DIN-28431,ABE0085AKC,L12341,60,NEM LÁTSZÓ
MOSÓGÉP,,,,,,
SZÁRÍTÓGÉP,,,,,,
MOSOGATÓTÁLCA,BLANCO,LEGRA 6S COMP.,DEBL00172,L12344,,FEKETE
CSAPTELEP,BLANCO,MIDA,DEBL00016,L12343,,FEKETE
SZAPPANADAGOLÓ,,,,,,
VÍZTISZTÍTÓ,,,,,,
HULLADÉKTÁROLÓ,BLANCO,BOTTONPR.60/3,DEBL00072,L12342,,NEM LÁTSZÓ
HULLADÉKTÁROLÓ,,,,,,
KONYHAMALAC,,,,,,
KIA - KÉK,,,,,,
GÉP TÍPUSA,GYÁRTÓ,MODELL,CIKKSZÁM,LEÉRTÉKELT SZÁM,MÉRET,SZÍN
SÜTŐ,WHIRLPOOL,W7 OS4 4S1 P,AW000000028AKC,HIÁNYZIK,,INOX
MIKRÓHULLÁMÚ,CANDY,MIC20GDFX,ACAN0113AKC,L12740,,INOX
FŐZŐLAP,EVIDO,DOMINO-I 32B,DEEV00046,L12744,,FEKETE
ELSZÍVÓ,EVIDO,SKY 60B,DEEV00119,,60,FEKETE
HŰTŐ,,,,,,
BORHŰTŐ,,,,,,
SOKKOLÓ HŰTŐ,,,,,,
KÁVÉFŐZŐ,,,,,,
MOSOGATÓGÉP,WHIRLPOOL,WSFC 3M17 X,AW000000049AKC,L12743,45,INOX
MOSÓGÉP,,,,,,
SZÁRÍTÓGÉP,,,,,,
MOSOGATÓTÁLCA,BLANCO,LEGRA XL6S,DEBL00161,,,ANTRACIT
CSAPTELEP,,,,,,
SZAPPANADAGOLÓ,,,,,,
VÍZTISZTÍTÓ,,,,,,
HULLADÉKTÁROLÓ,,,,,,
HULLADÉKTÁROLÓ,,,,,,
KONYHAMALAC,,,,,,
KIA - ZÖLD,,,,,,
GÉP TÍPUSA,GYÁRTÓ,MODELL,CIKKSZÁM,LEÉRTÉKELT SZÁM,MÉRET,SZÍN
SÜTŐ,CATA,MDS 8007 BK,DMCMDS8007BK,,,FEKETE
MIKRÓHULLÁMÚ,,,,,,
FŐZŐLAP,CATA,IB-6324 E2 BK,DMCIB6324E2BK,,,FEKETE
ELSZÍVÓ,CATA,WANDA 600 XGBK,DMCATAWAN600BK,,60,FEKETE
HŰTŐ,CATA,CI-54177 ST/D,DMCCI54177STD,,,NEM LÁTSZÓ
BORHŰTŐ,,,,,,
SOKKOLÓ HŰTŐ,,,,,,
KÁVÉFŐZŐ,,,,,,
MOSOGATÓGÉP,CATA,LVI 62014,DMCLVI62014,,60,NEM LÁTSZÓ
MOSÓGÉP,LG,F2WR509SWW,ALG0014AKC,,,FEHÉR
SZÁRÍTÓGÉP,,,,,,
MOSOGATÓTÁLCA,ELLECI,SINTESI 105,DMELSINTESI105,,,ZSÁLYA
CSAPTELEP,ELLECI,BRIDGE,DMELBRIDGEGR,,,FEKETE
SZAPPANADAGOLÓ,,,,,,
VÍZTISZTÍTÓ,,,,,,
HULLADÉKTÁROLÓ,FAGESZT,SZELEKTÍV HULLADÉKTÁROLÓ,D18001101,,,NEM LÁTSZÓ
HULLADÉKTÁROLÓ,,,,,,
KONYHAMALAC,,,,,,
MIRA - SZÜRKE,,,,,,
GÉP TÍPUSA,GYÁRTÓ,MODELL,CIKKSZÁM,LEÉRTÉKELT SZÁM,MÉRET,SZÍN
SÜTŐ,BEKO,BIM-24301WCS,ABE0123AKC,L13920,,FEHÉR
MIKRÓHULLÁMÚ,CANDY,MIC20GDFB,ACAN0112AKC,L13485,,FEHÉR
FŐZŐLAP,BEKO,HIC-64403T,ABE0012AKC,L13920,,FEKETE
ELSZÍVÓ,CATA,GTPLUS45 X/L,DMTLCGTP45I,L14089,BEÉPÍTETT 60,NEM LÁTSZÓ
