VIVA - RAUNA SZIL,,,,,,,,-
HULLADÉKTÁROLÓ,BLANCO,S.ORGA,DEBL00039,,,NEM LÁTSZÓ,,FLAT - SZÜRKE
KONYHAMALAC,,,,,,,,FLAT - SZÜRKE
CROSS - GYÖNGYFEHÉR,,,,,,,,-
GÉP TÍPUSA,GYÁRTÓ,MODELL,CIKKSZÁM,LEÉRTÉKELT SZÁM,MÉRET,SZÍN,,-
SÜTŐ,CATA,MDS7208,MDS7208WH,L14328,,FEHÉR,,CROSS - GYÖNGYFEHÉR
MIKRÓHULLÁMÚ,CATA,MNA20WH,DMCMMA20WH,,,FEHÉR,,CROSS - GYÖNGYFEHÉR
FŐZŐLAP,CATA,IB604WH,DMCIB604WH,L14328,,FEHÉR,,CROSS - GYÖNGYFEHÉR
ELSZÍVÓ,CATA,THALASSA 700 XGWH/F,DMCATHALASSA70,L14339,60,FEHÉR,,CROSS - GYÖNGYFEHÉR
HŰTŐ,EVIDO,SPACE FIT 505B,DEEV00116,,,FEKETE,,CROSS - GYÖNGYFEHÉR
BORHŰTŐ,,,,,,,,CROSS - GYÖNGYFEHÉR
SOKKOLÓ HŰTŐ,,,,,,,,CROSS - GYÖNGYFEHÉR
KÁVÉFŐZŐ,,,,,,,,CROSS - GYÖNGYFEHÉR
MOSOGATÓGÉP,CATA,LVI-61014,DMCLVI61014,L15132,60,NEM LÁTSZÓ,,CROSS - GYÖNGYFEHÉR
MOSÓGÉP,,,,,,,,CROSS - GYÖNGYFEHÉR
SZÁRÍTÓGÉP,,,,,,,,CROSS - GYÖNGYFEHÉR
MOSOGATÓTÁLCA,ELLECI,QUADRA 105 ,DMELQUADRA105,,,FEHÉR,,CROSS - GYÖNGYFEHÉR
CSAPTELEP,ELLECI,TRAIL,DMELTRALL,,,FEHÉR,,CROSS - GYÖNGYFEHÉR
SZAPPANADAGOLÓ,ELLECI,DI02300BK,DMELDI02300BK,HIÁNYZIK,,FEKETE,,CROSS - GYÖNGYFEHÉR
VÍZTISZTÍTÓ,,,,,,,,CROSS - GYÖNGYFEHÉR
HULLADÉKTÁROLÓ,,,,,,,,CROSS - GYÖNGYFEHÉR
HULLADÉKTÁROLÓ,,,,,,,,CROSS - GYÖNGYFEHÉR
KONYHAMALAC,ELLECI,500 TOP,DMEL500TOP,L14650,,NEM LÁTSZÓ,,CROSS - GYÖNGYFEHÉR
DIA - RAUNA SZIL,,,,,,,,-
GÉP TÍPUSA,GYÁRTÓ,MODELL,CIKKSZÁM,LEÉRTÉKELT SZÁM,MÉRET,SZÍN,,-
SÜTŐ,ELECTROLUX,KOEAP31WT,AE00176AKC,L12109,,FEKETE,,DIA - RAUNA SZIL
MIKRÓHULLÁMÚ,ELECTROLUX,LMS4253TMX,AE00161AKC,L12541,,FEKETE,,DIA - RAUNA SZIL
FŐZŐLAP,ELECTROLUX,EIV854,AE00177AKC,L12112,,FEKETE,,DIA - RAUNA SZIL
ELSZÍVÓ,KDESIGN,K129-80,DMK12980,L12111,80,FEKETE,,DIA - RAUNA SZIL
HŰTŐ,ELECTROLUX,KNT2LF18S,AE00175AKC,L12103,,NEM LÁTSZÓ,,DIA - RAUNA SZIL
BORHŰTŐ,,,,,,,,DIA - RAUNA SZIL
SOKKOLÓ HŰTŐ,,,,,,,,DIA - RAUNA SZIL
KÁVÉFŐZŐ,,,,,,,,DIA - RAUNA SZIL
MOSOGATÓGÉP,AEG,FSB53627P,AAE0055AKC,L12104,60,NEM LÁTSZÓ,,DIA - RAUNA SZIL
MOSÓGÉP,,,,,,,,DIA - RAUNA SZIL
SZÁRÍTÓGÉP,,,,,,,,DIA - RAUNA SZIL
MOSOGATÓTÁLCA,BLANCO,ELON XL 6S,DEBL00069,L12375,,FEKETE,,DIA - RAUNA SZIL
CSAPTELEP,BLANCO,CATRIS-S FLEXO,DEBL00175,L12114,,MATT FEKETE,,DIA - RAUNA SZIL
SZAPPANADAGOLÓ,,,,,,,,DIA - RAUNA SZIL
VÍZTISZTÍTÓ,,,,,,,,DIA - RAUNA SZIL
HULLADÉKTÁROLÓ,BLANCO,SELECT II 60/2,DEBL00180,L12115,,NEM LÁTSZÓ,,DIA - RAUNA SZIL
HULLADÉKTÁROLÓ,,,,,,,,DIA - RAUNA SZIL
KONYHAMALAC,,,,,,,,DIA - RAUNA SZIL
DIA - FINO VANÍLIA,,,,,,,,-
GÉP TÍPUSA,GYÁRTÓ,MODELL,CIKKSZÁM,LEÉRTÉKELT SZÁM,MÉRET,SZÍN,,-
